id,地级市名称,公共汽车数(辆),公路里程(公里),绿地面积(公顷),供水量(万吨),供电量(亿千瓦时),全年供天然气总量(万立方米)
1,宿迁市,1084,10565,9638,8846,84.54,20737
2,泰州市,1697,9954,6002,10669,106.25,40916
3,镇江市,2002,7255,8885,16327,120.27,47341
4,扬州市,2614,9730,8540,20563,139.3,25286
5,盐城市,1526,20550,7710,11672,127.47,19574
6,淮安市,2015,13436,8620,22218,135.27,21366
7,连云港市,1325,11909,22865,12182,109.93,35584
8,南通市,3103,19005,10411,29768,169.72,33946
9,苏州市,8780,12173,22518,78082,696.19,103299
10,常州市,2970,9331,11619,36090,395.41,119390
11,徐州市,2998,16611,16363,31805,117.66,32755
12,无锡市,4826,7576,19316,45822,349.91,135471
13,南京市,9246,10632,92202,133978,606.4,129494
