node,weight,geoX,geoY,name
33,4087,120.0688118,29.18757197,浙江省
11,461,116.4126168,40.18559132,北京市
31,140,121.4630237,31.23916251,上海市
44,80,113.4309571,23.35444429,广东省
32,72,119.4668764,32.9649002,江苏省
42,60,112.2713059,30.97568695,湖北省
34,55,117.2262285,31.82588098,安徽省
61,54,108.8687362,35.19162255,陕西省
12,34,117.3266634,39.30226978,天津市
43,32,111.7091336,27.60994289,湖南省
62,22,100.6038747,37.88163326,甘肃省
37,22,118.1533167,36.3531187,山东省
51,20,102.6929506,30.62925044,四川省
21,15,122.6071784,41.29583915,辽宁省
35,13,117.9765879,26.07977781,福建省
50,12,107.8744621,30.05717552,重庆市
36,8,115.7222432,27.61413722,江西省
41,6,113.6145694,33.88225077,河南省
13,6,116.1272267,39.5465903,河北省
23,5,127.7631721,47.8610845,黑龙江省
45,5,108.7883507,23.83125344,广西壮族自治区
14,3,112.2887993,37.57124849,山西省
65,2,85.18332983,41.11502052,新疆维吾尔自治区
46,2,109.7437758,19.1956621,海南省
63,2,96.03940511,35.67081573,青海省
22,1,126.1874275,43.66832959,吉林省
